127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000707
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001727
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001359
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001244
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002950
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001726
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001420
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001533
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000267
127.0.0.1, 2019-11-14 17:27:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.017722
127.0.0.1, 2019-11-14 17:27:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.015818
127.0.0.1, 2019-11-14 19:23:17, GET, /, HTTP/1.1, 303, 0.002928
127.0.0.1, 2019-11-14 19:23:25, GET, /, HTTP/1.1, 303, 0.000261
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.102058
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000751
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000956
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000622
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000717
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000705
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002681
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002109
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.004142
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003671
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000255
127.0.0.1, 2019-11-14 19:23:25, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000456
127.0.0.1, 2019-11-14 19:23:34, GET, /welcome/default/user/login, HTTP/1.1, 404, 0.009168
127.0.0.1, 2019-11-14 19:23:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2019-11-14 19:25:02, GET, /, HTTP/1.1, 303, 0.003597
127.0.0.1, 2019-11-14 19:25:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.114039
127.0.0.1, 2019-11-14 19:25:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000295
127.0.0.1, 2019-11-14 19:25:55, GET, /welcome/default/api_get_user_email, HTTP/1.1, 303, 0.010567
127.0.0.1, 2019-11-14 19:25:55, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.016807
127.0.0.1, 2019-11-14 19:26:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.015354
127.0.0.1, 2019-11-14 19:26:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.015762
127.0.0.1, 2019-11-14 19:26:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000448
127.0.0.1, 2019-11-14 19:26:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.016763
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.022415
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000666
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000456
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001380
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002655
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002062
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002675
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001247
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001476
127.0.0.1, 2019-11-14 20:04:35, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002078
127.0.0.1, 2019-11-14 20:04:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.019294
127.0.0.1, 2019-11-14 20:05:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.016393
127.0.0.1, 2019-11-14 20:06:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.016605
127.0.0.1, 2019-11-14 20:06:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.016043
127.0.0.1, 2019-11-14 20:06:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.017536
127.0.0.1, 2019-11-14 20:06:58, GET, /welcome/static/js/bootstrap.bundle.min.js.map, HTTP/1.1, 200, 0.000437
127.0.0.1, 2019-11-14 20:06:58, GET, /welcome/static/css/bootstrap.min.css.map, HTTP/1.1, 200, 0.000414
127.0.0.1, 2019-11-14 20:07:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.015478
127.0.0.1, 2019-11-14 20:07:17, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000291
127.0.0.1, 2019-11-14 20:07:17, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000634
127.0.0.1, 2019-11-14 20:07:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.015802
127.0.0.1, 2019-11-14 20:07:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000257
127.0.0.1, 2019-11-14 20:07:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000493
127.0.0.1, 2019-11-14 20:07:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.017323
127.0.0.1, 2019-11-14 20:07:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000464
127.0.0.1, 2019-11-14 20:07:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.020276
127.0.0.1, 2019-11-14 20:07:24, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000556
127.0.0.1, 2019-11-14 20:07:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.021318
127.0.0.1, 2019-11-14 20:07:34, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000485
127.0.0.1, 2019-11-14 20:08:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.015909
127.0.0.1, 2019-11-14 20:08:25, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000540
127.0.0.1, 2019-11-14 20:08:27, GET, /, HTTP/1.1, 303, 0.000340
127.0.0.1, 2019-11-14 20:08:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.016562
127.0.0.1, 2019-11-14 20:10:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.016249
127.0.0.1, 2019-11-14 20:10:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000661
127.0.0.1, 2019-11-14 20:11:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.019841
127.0.0.1, 2019-11-14 20:11:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000458
127.0.0.1, 2019-11-14 20:11:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.017061
127.0.0.1, 2019-11-14 20:11:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000805
127.0.0.1, 2019-11-14 20:11:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.017221
